,comments,preprocessed comments,sentiment
612,alien isolation in movie good idea,alien isolation movie good idea,positive
613,well i have the feeling that this alien looks like everything i would expect to see in an alien movie,well feeling alien looks like everything would expect see alien movie,negative
614,some of yall in the comments want this movie to fail and it shows,yall comments want movie fail shows,negative
615,another femdisaster movie my gosh,another femdisaster movie gosh,neutral
616,to many tokens looks like woke crap,many tokens looks like woke crap,negative
617,yall remember in aliens when the tracker was going off and the xenomorphs were above the ceiling scarred me for life,yall remember aliens tracker going xenomorphs ceiling scarred life,neutral
618,please dont be a disappointment please dont be a disappointment please dont be a disappointment,please dont disappointment please dont disappointment please dont disappointment,negative
619,if the quality of the video is anything like the movie ill give this one a miss,quality video anything like movie ill give one miss,negative
620,star struck star struck star struck star struck star struck,star struck star struck star struck star struck star struck,neutral
621,we need to call in predator,need call predator,neutral
622,so the original alien introduced dark gritty scifi with workers in a nonforgiving capitalist future to become this shiny tiktok trailer,original alien introduced dark gritty scifi workers nonforgiving capitalist future become shiny tiktok trailer,negative
623,cast of kids barely out of high school i guess they want us rooting for the hostile seething xenomorphs in this one face with tears of joy face with tears of joy,cast kids barely high school guess want us rooting hostile seething xenomorphs one face tears joy face tears joy,positive
624,i cried when the alien said its romulin time and romulated all over the place,cried alien said romulin time romulated place,negative
625,time to replay alien isolation,time replay alien isolation,negative
626,man shrugging the older backhand index pointing left smiling face with horns version call me hand is more skull and crossbones luxurious skull and crossbones,man shrugging older backhand index pointing left smiling face horns version call hand skull crossbones luxurious skull crossbones,positive
627,ea,ea,neutral
628,new dbd xeno and ripley skins incoming,new dbd xeno ripley skins incoming,positive
629,cant believe this trailer is a month old and i just found out this movie exists today ive been watching alien and predator lore videos for several weeks and just now got this ad,cant believe trailer month old found movie exists today ive watching alien predator lore videos several weeks got ad,negative
630,yawn,yawn,neutral
631,so they send their school classes now alone into space,send school classes alone space,neutral
632,floating in to the alien acid blood is too cool,floating alien acid blood cool,positive
633,the woke version of the alien franchise all young all races many girls etc,woke version alien franchise young races many girls etc,positive
634,yea not watching it this franchise went down hill,yea watching franchise went hill,negative
635,looks crap,looks crap,negative
636,there is nothing else left to do with aliens they should keep the focus on the beginning phases of alien vs predator way more interesting,nothing else left aliens keep focus beginning phases alien vs predator way interesting,positive
637,in space there are no adults,space adults,neutral
638,incredible,incredible,positive
639,lets remake the same movie for the rd time ok man,lets remake movie rd time ok man,positive
640,what is this mess was this crew recruited straight out of high school seriously is this a joke this movie should have been titled final destination in space,mess crew recruited straight high school seriously joke movie titled final destination space,negative
641,okay lets go watching this crying face,okay lets go watching crying face,positive
642,boom,boom,neutral
643,all this crap from ppl who didnt see the movie yet i think move will be good not like first but still a lot better than prometheus and covenant,crap ppl didnt see movie yet think move good like first still lot better prometheus covenant,positive
644,acheron thats very colony base thats in the movie aliens aka acheron lv,acheron thats colony base thats movie aliens aka acheron lv,negative
645,i get they dont want to give the movie away but this doesnt remotely sell it,get dont want give movie away doesnt remotely sell,negative
646,disney loves cash cows an alien ride at disneyland is a sure bet be tough to fit one on mickeys face,disney loves cash cows alien ride disneyland sure bet tough fit one mickeys face,positive
647,mfs really be watching a trailer and deciding the quality of the movie like theyve seen it times,mfs really watching trailer deciding quality movie like theyve seen times,positive
648,what exactly does this movie add to the franchise teen horror,exactly movie add franchise teen horror,positive
649,where is ellen ripley aka sigourney alien hunter,ellen ripley aka sigourney alien hunter,negative
650,looks like rehashed garbageseen it already without watching thumbs down,looks like rehashed garbageseen already without watching thumbs,negative
651,who is liking this crap,liking crap,negative
652,they look like that they dont have the intelligence to be space,look like dont intelligence space,neutral
653,this is one of maybe movies that i have really looked forward to seeing in the last years fede cut this and the teaser himself and it shows i love the sound design i dont know why but i loved the littlest things like the deep guitar strum when the xeno is introduced and i loved the crackling sound of the spaceship approaching the space station at the very start of the first teaser i really hope this is an example for studios to get directors that actually care about the ip and let them do their job without interfering the main thing studios should push for is practical effects done right over doing cgi for everything the biggest reason the cost of films these days are so insane is from too much cgi when its so much more expensive and looks worse than doing practical sprinkled with cgi you get better acting from all the actors when everything isnt a green screen too and all the set designs are absolutely stunning i would have paid anything to walk through them,one maybe movies really looked forward seeing last years fede cut teaser shows love sound design dont know loved littlest things like deep guitar strum xeno introduced loved crackling sound spaceship approaching space station start first teaser really hope example studios get directors actually care ip let job without interfering main thing studios push practical effects done right cgi everything biggest reason cost films days insane much cgi much expensive looks worse practical sprinkled cgi get better acting actors everything isnt green screen set designs absolutely stunning would paid anything walk,positive
654,only luck that they evolved into facehuggers it would be far more scary if they chose the other end d,luck evolved facehuggers would far scary chose end,negative
655,after the successful release of aliens in this franchise should have called it quits,successful release aliens franchise called quits,positive
656,it appears this film still wont answer the important detail weve all wanted to know since do facehugger eggs make good omelettes,appears film still wont answer important detail weve wanted know since facehugger eggs make good omelettes,positive
657,looks like the wb alien,looks like wb alien,negative
658,me starts watching alien romulus trailer also me begins to have world war flashbacks of alien isolation,starts watching alien romulus trailer also begins world war flashbacks alien isolation,negative
659,will you brainlets stop getting excited for call backs dur i remember that from the other movie,brainlets stop getting excited call backs dur remember movie,positive
660,alien british teenagers in a welllit spaceship being clumsy and terrified without any suspense,alien british teenagers welllit spaceship clumsy terrified without suspense,negative
661,gee another aliens do we need that,gee another aliens need,neutral
662,dont worry about the plot dont worry about the script dont worry about the screenplay just make sure you have every possible race color in the movie you must have hispanic you must have black you must have asian and just so it doesnt look racist make sure you got at least one white person because you dont wanna be that obvious,dont worry plot dont worry script dont worry screenplay make sure every possible race color movie must hispanic must black must asian doesnt look racist make sure got least one white person dont wan na obvious,positive
663,so being a screen writer these days consists of dropping the f bomb in every other sentence is that writing,screen writer days consists dropping f bomb every sentence writing,negative
664,its all fun and games until isaac shows up with his plasma cutter,fun games isaac shows plasma cutter,positive
665,i want a female android and black ripley next time in the gender race musical chairs,want female android black ripley next time gender race musical chairs,negative
666,yay another non original franchise movie grinning face with sweat,yay another non original franchise movie grinning face sweat,positive
667,i have the biggest feeling that the newborn alien will show up in this new film the newborn alien from alien resurrection film,biggest feeling newborn alien show new film newborn alien alien resurrection film,negative
668,my heart says omg my brain says disappointment please no,heart says omg brain says disappointment please,negative
669,movies lately producers here year old kid make a trailer kid yes pow woosh pew pew grrrr ahhh run ka boom,movies lately producers year old kid make trailer kid yes pow woosh pew pew grrrr ahhh run ka boom,negative
670,did i see bro giving an alien the succ,see bro giving alien succ,negative
671,this movie looks really good,movie looks really good,positive
672,you can just bet that another predator movie is going to come out soon after this because alien and predator always go hand in hand,bet another predator movie going come soon alien predator always go hand hand,negative
673,the more i see of this movie the more worried i am,see movie worried,positive
674,sigourney must be sickened by this latest guff,sigourney must sickened latest guff,positive
675,cool but is the studio treating this as a reboot nothing you guys do with the franchise will ever top the og st and nd film,cool studio treating reboot nothing guys franchise ever top og st nd film,positive
676,what are we some kind of alien romulus,kind alien romulus,positive
677,same ol st nothing new,ol st nothing new,positive
678,i assume the plot twist is that this was the colony ship david was on and this is the result of his experiments,assume plot twist colony ship david result experiments,neutral
679,i wanted to know how the story of david ended couldnt care less about a bunch of zoomers dying in space,wanted know story david ended couldnt care less bunch zoomers dying space,negative
680,in space no on e can hear you in space,space e hear space,neutral
681,this movie looks more like a stranger alien things crossover which i see it heading towards disasterville,movie looks like stranger alien things crossover see heading towards disasterville,positive
682,so basically i have been wainting for a teenagerssaveusall film there have been none of that ever i wonder what they are like,basically wainting teenagerssaveusall film none ever wonder like,neutral
683,im not a fan of the main characters being teenagers but the visual aesthetics look the most alienesque since aliens,im fan main characters teenagers visual aesthetics look alienesque since aliens,positive
684,alien isolation graphic looks crazy,alien isolation graphic looks crazy,negative
685,can the movie be as good as the trailer,movie good trailer,positive
686,that alien is pretty slippery innit,alien pretty slippery innit,neutral
687,i can see plot armour,see plot armour,neutral
688,not the british guy saying waaah pensive face see no evil monkey face with tears of joy,british guy saying waaah pensive face see evil monkey face tears joy,positive
689,this has very decent horror movie director and writer who made the dont breathe films using the writings of dan obannon who wrote alien and aliens so as long as disney didnt stick their noses to far in it trying to make stupid changes we might actually get a good film here,decent horror movie director writer made dont breathe films using writings dan obannon wrote alien aliens long disney didnt stick noses far trying make stupid changes might actually get good film,negative
690,omg you can tell how many practical effects there are,omg tell many practical effects,positive
691,to be honest with you this seems like it showed a lot,honest seems like showed lot,positive
692,lol from instagram,lol instagram,positive
693,i really wanted to be excited for thisbut this looks like a scream movie in a very poorly done space set what a waste,really wanted excited thisbut looks like scream movie poorly done space set waste,negative
694,im going to watch this and most likely love it but im wondering why uss sulaco didnt contact the space stations before going through the trouble of going to the surface in aliens this is a plot hole that has me thrown off i would have much rather seen a movie about the colony being sent to the alien ship bringing back someone infected and the entire colony or families all going to crapper i dont know why it so hard for hollywood today to stay on script there was a perfectly good story to leach off of and they had to introduce a plot hole for zero reason,im going watch likely love im wondering uss sulaco didnt contact space stations going trouble going surface aliens plot hole thrown would much rather seen movie colony sent alien ship bringing back someone infected entire colony families going crapper dont know hard hollywood today stay script perfectly good story leach introduce plot hole zero reason,positive
695,hook,hook,neutral
696,theres something in woa,theres something woa,neutral
697,can we get the aliens fighting the colonial marines part deux face with tears of joy face with tears of joy face with tears of joy face with tears of joy,get aliens fighting colonial marines part deux face tears joy face tears joy face tears joy face tears joy,positive
698,alien fans when prometheuscovenant came out wtf is this bullshit we wanted a classic alien film alien fans when romulus came out wtf is this bullshit we want something different not the first film again,alien fans prometheuscovenant came wtf bullshit wanted classic alien film alien fans romulus came wtf bullshit want something different first film,negative
699,oh i thought it was a fan made video oo face with crossed out eyes,oh thought fan made video oo face crossed eyes,neutral
700,when are we going to see a alien where beat they ash,going see alien beat ash,negative
701,guess we gotta wait a few more years for the covenant sequal,guess got ta wait years covenant sequal,positive
702,how does this film tie to the alien covenant and prometheus,film tie alien covenant prometheus,negative
703,dont we already have like ten of these,dont already like ten,neutral
704,are we going to learn anything new in this movie or is just a special effects upgrade with writingacting downgrade,going learn anything new movie special effects upgrade writingacting downgrade,positive
705,looks like another deifest,looks like another deifest,neutral
706,woke teenagers in space face with tears of joy this is embarrassing now leave the old s and s movies alone you arent as good as they were at making movies not even close,woke teenagers space face tears joy embarrassing leave old movies alone arent good making movies even close,positive
707,again good grief you guys in hollywood are just bereft of anything new or interesting,good grief guys hollywood bereft anything new interesting,positive
708,you can already tell its woke crap its not a continuation of the last two movies its just a horror movie with aliens,already tell woke crap continuation last two movies horror movie aliens,negative
709,ill wait until the reviews are out and as long as there is no agenda message being pushed ill probably go see this,ill wait reviews long agenda message pushed ill probably go see,negative
710,this has a teen slasher movie vibe,teen slasher movie vibe,neutral
711,kind of feels like i have seen this already,kind feels like seen already,positive
712,so basically another remake of the remake of the remake,basically another remake remake remake,neutral
713,teenager movie,teenager movie,neutral
714,its good,good,positive
715,so fckin epic this sound iz,fckin epic sound iz,positive
716,we want ellen ripley loudly crying face,want ellen ripley loudly crying face,negative
717,for almost years all the humans did to fight the aliens was to keep sending small private teams to investigate,almost years humans fight aliens keep sending small private teams investigate,negative
718,looks like a reboot for genz,looks like reboot genz,neutral
719,stomp foot trailers are the worst grinning face with sweat,stomp foot trailers worst grinning face sweat,negative
720,from they have been making alien movies with the same concept every timejust like terminator they never changed crying face crying face,making alien movies concept every timejust like terminator never changed crying face crying face,negative
721,when your uncle catches you sleeping,uncle catches sleeping,neutral
722,where are the romulans,romulans,neutral
723,how can it be good the trailers are full of cgi but more important this is not where were seeing a facehugger for the first time and are horrified by it weve been accustomed to it and other horror stuff,good trailers full cgi important seeing facehugger first time horrified weve accustomed horror stuff,positive
724,in space no one can hear you theres somefin inna wauh,space one hear theres somefin inna wauh,neutral
725,theres a lot of fan service in this trailer,theres lot fan service trailer,neutral
726,alien films have been getting progressively worse since alien theyve made more bad films than good at this stage,alien films getting progressively worse since alien theyve made bad films good stage,negative
727,is this like a teen drama thing,like teen drama thing,neutral
728,for those saying that actors look like theyre highschool students please check their ages on google before acting braindead,saying actors look like theyre highschool students please check ages google acting braindead,neutral
729,slop,slop,neutral
730,why are all the actors years old,actors years old,positive
731,getting major alien isolation vibes it seems like the people who made this are genuine alien fans we need a good alien movie,getting major alien isolation vibes seems like people made genuine alien fans need good alien movie,positive
732,something in the wo a,something wo,neutral
733,hollywood hasnt had an original movie in years remakes on remakes disappointment im not watching this remake with pre pubescent teens in space killing aliens,hollywood hasnt original movie years remakes remakes disappointment im watching remake pre pubescent teens space killing aliens,negative
734,lol,lol,positive
735,tik tok videos are creepier and scarier,tik tok videos creepier scarier,neutral
736,like a stranger isolation in the game,like stranger isolation game,negative
737,looks good to me this is a throwback to the original with suspense thrills and chills and scifi horror amplified,looks good throwback original suspense thrills chills scifi horror amplified,positive
738,barnacles,barnacles,neutral
739,this was a less then interesting trailer,less interesting trailer,positive
740,wow its the actual trailer and not one of the fake trailers people have been spamming for a year,wow actual trailer one fake trailers people spamming year,negative
741,in space no one can hear you alien,space one hear alien,negative
742,looks like a childrens movie,looks like childrens movie,neutral
743,teeanger shits in movie hope the osts would be kpop fak,teeanger shits movie hope osts would kpop fak,neutral
744,hes just standing there menacingly face with tears of joy,hes standing menacingly face tears joy,negative
745,this looks amazing im so excited we finally getting another alien movie,looks amazing im excited finally getting another alien movie,positive
746,i was playing alien isolation my expectations are more,playing alien isolation expectations,positive
747,doesnt appear very original crying face,doesnt appear original crying face,positive
748,theyll never top alien alien no matter how good the special effects are,theyll never top alien alien matter good special effects,positive
749,they really went oh we must not have had enough kids in the last couple alien movies thats why they bombed,really went oh must enough kids last couple alien movies thats bombed,negative
750,cailee spaeny will kill it in this movie,cailee spaeny kill movie,neutral
751,holy crap that last scene lol im down,holy crap last scene lol im,negative
752,this continues the bad streak of movies in this franchise the first movie was pretty flawless and this does not even seem to want to try to aspire to that level what happened they gave up and decided to milk the franchise,continues bad streak movies franchise first movie pretty flawless even seem want try aspire level happened gave decided milk franchise,positive
753,what i want an alien movie that does not follow standard stupid tropes of lets all be bloody idiots and do stupid shat and get picked off one by one,want alien movie follow standard stupid tropes lets bloody idiots stupid shat get picked one one,negative
754,how many more times must they make this pointless movie with all this future tech we somehow always end up stumbling on this dangerous alien species keen on destroying and killing human yet no one ever does anything about it ever yeah okay,many times must make pointless movie future tech somehow always end stumbling dangerous alien species keen destroying killing human yet one ever anything ever yeah okay,positive
755,the face hugger didnt need to do all that loudly crying face loudly crying face loudly crying face,face hugger didnt need loudly crying face loudly crying face loudly crying face,negative
756,the fact that they are using a lot of sets and practical effects rather than full blown over the top cgi is a big plus in my book,fact using lot sets practical effects rather full blown top cgi big plus book,positive
757,all these alien movies have the same storyline ughhh its annoying now,alien movies storyline ughhh annoying,negative
758,if you are crying because the movie has young people in it i dont know what to tell you face with tears of joy,crying movie young people dont know tell face tears joy,positive
759,that was the most british way of saying water ive ever heard theres somefin inna wauh rolling on the floor laughing,british way saying water ive ever heard theres somefin inna wauh rolling floor laughing,positive
760,seems alien franchise degraded to a category b teen horror not interested anymore,seems alien franchise degraded category b teen horror interested anymore,negative
761,i got a fever and the only prescription is more cockney,got fever prescription cockney,positive
762,lets hope they have motion trackers like back in aliens and alien isolation nostalgia face screaming in fear alien skull and crossbones,lets hope motion trackers like back aliens alien isolation nostalgia face screaming fear alien skull crossbones,negative
763,some of the actors of all time hopfully the alien wins this time around,actors time hopfully alien wins time around,positive
764,im still wishing for the real prometheus sequel,im still wishing real prometheus sequel,positive
765,i love the part where the face hugger said its face huggin time and hugged everyones face all over the place,love part face hugger said face huggin time hugged everyones face place,positive
766,are teenagers in charge of space ships where are the adults,teenagers charge space ships adults,neutral
767,is it already out,already,neutral
768,to anyone bitching about the age of the actors alvarez stated he wanted to explore what would happen when the colonists of hadleys hope from aliens see the deleted scene for reference grew up and how theyd react to a mundane uninspiring environment therefore looking for an opportunity to get out they havent done it to go woke to deliberately appeal to a younger audience for diversity or any number of cheap excuses people are using to discredit it before its even out the reasoning is fully grounded in the established lore of the series,anyone bitching age actors alvarez stated wanted explore would happen colonists hadleys hope aliens see deleted scene reference grew theyd react mundane uninspiring environment therefore looking opportunity get havent done go woke deliberately appeal younger audience diversity number cheap excuses people using discredit even reasoning fully grounded established lore series,positive
769,so just a crappier copy and paste of the first alien,crappier copy paste first alien,neutral
770,fantastic trailer,fantastic trailer,positive
771,bro getting violated,bro getting violated,neutral
772,the facehugger is like its water not wata,facehugger like water wata,neutral
773,to is one of the coolest sequences in a trailer ive ever seen without telling too much of whats going on and yet people are whining for some reason in the comments,one coolest sequences trailer ive ever seen without telling much whats going yet people whining reason comments,positive
774,alien teenage twilight edition,alien teenage twilight edition,negative
775,unfortunately there were already these techniques,unfortunately already techniques,negative
776,finally after prey predator prequel a better scary alien movie i miss sigourney ellen ripley it has the elements of alienaliens pulse rifle back brave woman great,finally prey predator prequel better scary alien movie miss sigourney ellen ripley elements alienaliens pulse rifle back brave woman great,positive
777,the alien xenomorph my beloved and beautiful creature how i wish to see the humans give birth to your glory,alien xenomorph beloved beautiful creature wish see humans give birth glory,positive
778,hell yeah,hell yeah,neutral
779,hell yeahh fire fire,hell yeahh fire fire,neutral
780,there are only romulans on romulus and they dont eat humans terrible name for this movie another fail by th century fox,romulans romulus dont eat humans terrible name movie another fail th century fox,negative
781,you still dont understand what youre dealing with do you the perfect organism its structural perfection is matched only by its hostility i admire its purity a survivor unclouded by conscience remorse or delusions of morality ash,still dont understand youre dealing perfect organism structural perfection matched hostility admire purity survivor unclouded conscience remorse delusions morality ash,positive
782,alien and aliens are two great films stop trying,alien aliens two great films stop trying,positive
783,face hugger didnt even buy him a drink,face hugger didnt even buy drink,neutral
784,im looking forward to this and no i do not care that the cast are younger or that theres only a couple of white dudes or that the british guy pronounces water like woah the practical and visual effects are going to be awesome come at me incel bros thumbs up,im looking forward care cast younger theres couple white dudes british guy pronounces water like woah practical visual effects going awesome come incel bros thumbs,positive
785,you guys are really milking this franchise huh,guys really milking franchise huh,positive
786,refreshing to see a nonai trailer,refreshing see nonai trailer,positive
787,are we allowed to hype because i am starting it,allowed hype starting,neutral
788,nitr approved,nitr approved,neutral
789,dont fk it up like starwars pile of poo pile of poo pile of poo,dont fk like starwars pile poo pile poo pile poo,neutral
790,they absolutely nailed the set design,absolutely nailed set design,positive
791,james cameron now needs to come out with his second alien film,james cameron needs come second alien film,negative
792,note to hollywood you dont need to tell someone to run when it is time to run,note hollywood dont need tell someone run time run,neutral
793,so a remake of the original one,remake original one,positive
794,we need a movie about the engineers,need movie engineers,neutral
795,is it just me or does him saying run call back to that vine meme song by awolnation,saying run call back vine meme song awolnation,neutral
796,i only watch aline movie only for prometheus franchise,watch aline movie prometheus franchise,neutral
797,miscegenation on the first three seconds of the trailer you wont get my money,miscegenation first three seconds trailer wont get money,positive
798,ridley scott please have them be legit xenos and not whatever the fucks you think up halfway during the film production your game team gets it right please be good,ridley scott please legit xenos whatever fucks think halfway film production game team gets right please good,positive
799,looks much like alien i figured theyd at least go down to a planet,looks much like alien figured theyd least go planet,negative
800,dear lord save us from mockney accents ver warah in meorah dan tace lie wot it orah anybody english and a certain age will remember the advert smiling face with smiling eyes,dear lord save us mockney accents ver warah meorah dan tace lie wot orah anybody english certain age remember advert smiling face smiling eyes,positive
801,one thing about the old movies is that they were actually scary and this one looks as claustrophobic as the first one,one thing old movies actually scary one looks claustrophobic first one,negative
802,idk the face thing kind of getting old like we seen it before over and over grinning face with sweat,idk face thing kind getting old like seen grinning face sweat,positive
803,no adults were harmed in the making of this movie,adults harmed making movie,neutral
804,this movie is missing a cat,movie missing cat,negative
805,that lady in aliens that said kill me this is her origin,lady aliens said kill origin,neutral
806,in space no one can hear you alien,space one hear alien,negative
807,the trailers are not what they used to be they always left you wonder and excited but now they give you the whole story in one trailer thats why i dont watch them,trailers used always left wonder excited give whole story one trailer thats dont watch,positive
808,is this teenage alien why are all the actors in their s,teenage alien actors,negative
809,lame,lame,negative
810,i find it strange how people in this comment section are reacting to the british blokes accent almost as if they think that the uk contains just one city and only one defining accent with no other locations with other accents,find strange people comment section reacting british blokes accent almost think uk contains one city one defining accent locations accents,negative
811,im not gonna lie seeing full on practical effects with animatronics in an age where cgi dominates actually has me excited cgi creatures nowadays are so incredibly photorealistic and i love it but seeing what appears to be a real tangible xenomorph has me interested,im gon na lie seeing full practical effects animatronics age cgi dominates actually excited cgi creatures nowadays incredibly photorealistic love seeing appears real tangible xenomorph interested,positive
812,this movie is already ruined usually movies with kids in it arent that good,movie already ruined usually movies kids arent good,positive
813,the face hugger straight took advantage of that guy,face hugger straight took advantage guy,positive
814,netflix are you still watching someone s daughter,netflix still watching someone daughter,neutral
815,the closeup shot of the facehugger shoving its trach tube down the victims throat is the stuff of nightmares,closeup shot facehugger shoving trach tube victims throat stuff nightmares,negative
816,so is michael fassbender no longer canon now,michael fassbender longer canon,neutral
817,it looks like alien isolation dope,looks like alien isolation dope,negative
818,for us older alien fans we just want answers to our questions why do the engineers want to destroy earth why were there murals of the xenomoph on the walls in prometheus and where did the alien craft come from that was derelict on lv,us older alien fans want answers questions engineers want destroy earth murals xenomoph walls prometheus alien craft come derelict lv,negative
819,hiya mate in space no one can hear ya innit,hiya mate space one hear ya innit,neutral
820,who else misses the amanda ripley,else misses amanda ripley,neutral
821,facehugger its water not woa,facehugger water woa,neutral
822,will it lose more money than furiosa or gladiator,lose money furiosa gladiator,positive
823,i donno looks promising ok hand,donno looks promising ok hand,positive
824,looks someone woke which has me worried but hopefully its watchable,looks someone woke worried hopefully watchable,neutral
825,alien ro not gonna be good,alien ro gon na good,positive
826,quotalien films are tightquot could be all much improved with awtx and guys being part of it,quotalien films tightquot could much improved awtx guys part,positive
827,my biggest issue with prometheus and covenant was that i found it difficult to care about most of the human characters so if these vaguely teenage people are compelling i think it may be good to me the xenomorph works best in small numbers in confined spaces,biggest issue prometheus covenant found difficult care human characters vaguely teenage people compelling think may good xenomorph works best small numbers confined spaces,positive
828,absurdly dark even for cgi,absurdly dark even cgi,negative
829,so youre never gonna follow up with a movie to end the story in alien covenant,youre never gon na follow movie end story alien covenant,negative
830,as far as i can tell from this trailer they at least nailed the atmosphere and aesthetics unlike prometheus and covenant which look nothing like an alien film,far tell trailer least nailed atmosphere aesthetics unlike prometheus covenant look nothing like alien film,negative
831,ohh the sound of the motion tracker red heart,ohh sound motion tracker red heart,positive
832,call the predator,call predator,neutral
833,im so hyped but the original can never be replaced hoping itll be amazing and intense,im hyped original never replaced hoping itll amazing intense,positive
834,theres summink inna wo ah innit,theres summink inna wo ah innit,neutral
835,in space nobody hears a teen,space nobody hears teen,neutral
836,wheres an ultra marine when you need one,wheres ultra marine need one,neutral
837,im going to watch it for free like always,im going watch free like always,positive
838,glad its in space,glad space,positive
839,looks good finally a film maker with some balls i dont know how many more kid friendly spin offs i can take lol grinning squinting face,looks good finally film maker balls dont know many kid friendly spin offs take lol grinning squinting face,positive
840,the alien is back,alien back,negative
841,unoriginal,unoriginal,negative
842,a lot of eggs in this one hopefully well get to see a queen in action,lot eggs one hopefully well get see queen action,positive
843,in space you can hear only your tinnitus,space hear tinnitus,neutral
844,quotin space no one can hear you alien romulusquot you moved in awtx,quotin space one hear alien romulusquot moved awtx,negative
845,why they made it a movie about teenagers getting chased by aliens man facepalming,made movie teenagers getting chased aliens man facepalming,neutral
846,im the neast of england that guys accent is really forkin annoying d,im neast england guys accent really forkin annoying,negative
847,dont really care about characters age but if this dont engineers lore is gonna be a big l,dont really care characters age dont engineers lore gon na big l,positive
848,sufficient moviegoers will be delighted by this umpteenth alien part a franchise now all audiences a film that will appeal to the whole family the only following the terrible alien is by far aliens the return directed by james cameronprometheus and knowing two very stinking turnips with actors immediately seen immediately forget no tension scenario as predictable as the good weather after the rain we must keep in mind the first two films quet i preferred to see them again rather than wasting his money to go see romulus,sufficient moviegoers delighted umpteenth alien part franchise audiences film appeal whole family following terrible alien far aliens return directed james cameronprometheus knowing two stinking turnips actors immediately seen immediately forget tension scenario predictable good weather rain must keep mind first two films quet preferred see rather wasting money go see romulus,positive
849,another great franchise ruined by cgi and too much gore,another great franchise ruined cgi much gore,positive
850,also in space nobody can hear badly enunciated working class london english,also space nobody hear badly enunciated working class london english,negative
851,cool racemixing like seconds in much propaganda wow,cool racemixing like seconds much propaganda wow,positive
852,woke garbage,woke garbage,neutral
853,going back to the roots i see since the first alien was basically a slasher movie in space i can give it a chance since ridley scott went insane about androids playing flutes etc and decided not to destroy his franchise even more and let someone else direct it,going back roots see since first alien basically slasher movie space give chance since ridley scott went insane androids playing flutes etc decided destroy franchise even let someone else direct,negative
854,maybe the best film in the franchise since alien,maybe best film franchise since alien,positive
855,the interesting about this is the facehuggers will play into the horror aspect as well,interesting facehuggers play horror aspect well,positive
856,why are kids running the ship,kids running ship,neutral
857,so glad no one can ever ruin the original or the second film,glad one ever ruin original second film,positive
858,brit the s sumfn in that wotah facehugger wotcher guvnah whats the craic,brit sumfn wotah facehugger wotcher guvnah whats craic,neutral
859,full movie will in my channels linked website upload will be super fast,full movie channels linked website upload super fast,positive
860,is this the real trailer,real trailer,positive
861,british accent ruins it for me,british accent ruins,negative
862,i thought we were going to continue with david the brobot,thought going continue david brobot,neutral
863,theres sufin ina woah innit,theres sufin ina woah innit,neutral
864,that motion tracker will go down as one of the scariest movie sounds in cinema history,motion tracker go one scariest movie sounds cinema history,negative
865,some of the shots in this trailer are giving me alien isolation vibes and im here for it,shots trailer giving alien isolation vibes im,negative
866,ive seen enough about the aliens the engineers wouldve been refreshing to see,ive seen enough aliens engineers wouldve refreshing see,positive
867,its a new start to the franchise away from the other movieshinting at romulus being part of the nameand the characters being younger as well,new start franchise away movieshinting romulus part nameand characters younger well,positive
868,everyone wants to hate this film but as usual i am not disappointed by sir ridley,everyone wants hate film usual disappointed sir ridley,negative
869,fede i dont want to spoil the plot with the trailer trailer reveals at least characters getting facehuggered and with the chestburster,fede dont want spoil plot trailer trailer reveals least characters getting facehuggered chestburster,negative
870,theres something about the practical effects with no cgi and good actors that will always be superior to these modern over polished movies i dont care if it costs a billion dollars watch how much of a letdown the inevitable chest bursting scene will be in this compared to the original,theres something practical effects cgi good actors always superior modern polished movies dont care costs billion dollars watch much letdown inevitable chest bursting scene compared original,positive
871,last time this director touched a popular franchise he somehow beat the extremely high bar of making it the worst texas chainsaw movie in the entire franchise,last time director touched popular franchise somehow beat extremely high bar making worst texas chainsaw movie entire franchise,negative
872,so they just redid every scene and then added a little more,redid every scene added little,positive
873,a typical lazy franchise rehash and cash grab these franchises are going down the shitter like yesterdays curry no my money so i couldnt care lessscream teens in space please,typical lazy franchise rehash cash grab franchises going shitter like yesterdays curry money couldnt care lessscream teens space please,negative
874,every movie story is same they are just keep making movies in the name of francise thats why i dont like most of hollywood films,every movie story keep making movies name francise thats dont like hollywood films,positive
875,i remember seeing he first installment of this franchise and it was absolutely awesome hope they can maintain that level of entertainment,remember seeing first installment franchise absolutely awesome hope maintain level entertainment,positive
876,sadly this does not stand up as an alien movie looks like a hundred other knock offs why did ridely scott signed up on this,sadly stand alien movie looks like hundred knock offs ridely scott signed,negative
877,theres something in the watuh,theres something watuh,neutral
878,that xray scene is quite cool,xray scene quite cool,positive
879,i have a sinking feeling about this one maybe aliens set the bar too high and one should leave well enough alone if this trailer is any guide not a lot is left to the audience to think about its just a lot of running and screaming which is what happened to the jurassic park franchise,sinking feeling one maybe aliens set bar high one leave well enough alone trailer guide lot left audience think lot running screaming happened jurassic park franchise,positive
880,we live in the th century and people still speak with a cockney accent,live th century people still speak cockney accent,positive
881,yeah that rediculously loud annoying and unnecessary ringing ruined the trailer,yeah rediculously loud annoying unnecessary ringing ruined trailer,negative
882,the visuals are wonderful loudly crying face heart hands,visuals wonderful loudly crying face heart hands,positive
883,looks like a copy paste to me already,looks like copy paste already,neutral
